n,f(n) = 100 n log(n),g(n) = n^2
1,0,1
2,200,4
3,475.4887502,9
4,800,16
5,1160.964047,25
6,1550.9775,36
7,1965.148445,49
8,2400,64
9,2852.932501,81
10,3321.928095,100
11,3805.374781,121
12,4301.955001,144
13,4810.571634,169
14,5330.296891,196
15,5860.335893,225
16,6400,256
17,6948.68683,289
18,7505.865003,324
19,8071.062276,361
20,8643.85619,400
21,9223.866588,441
22,9810.749561,484
23,10404.1925,529
24,11003.91,576
25,11609.64047,625
26,12221.14327,676
27,12838.19626,729
28,13460.59378,784
29,14088.14489,841
30,14720.67179,900
31,15358.00856,961
32,16000,1024
33,16646.50059,1089
34,17297.37366,1156
35,17952.49056,1225
36,18611.73001,1296
37,19274.97745,1369
38,19942.12455,1444
39,20613.06865,1521
40,21287.71238,1600
41,21965.96322,1681
42,22647.73318,1764
43,23332.93845,1849
44,24021.49912,1936
45,24713.33893,2025
46,25408.385,2116
47,26106.5676,2209
48,26807.82,2304
49,27512.07824,2401
50,28219.28095,2500
51,28929.36924,2601
52,29642.28653,2704
53,30357.97841,2809
54,31076.39251,2916
55,31797.47842,3025
56,32521.18756,3136
57,33247.47308,3249
58,33976.28977,3364
59,34707.59399,3481
60,35441.34357,3600
61,36177.49776,3721
62,36916.01712,3844
63,37656.86352,3969
64,38400,4096
65,39145.39078,4225
66,39893.00119,4356
67,40642.79758,4489
68,41394.74732,4624
69,42148.81875,4761
70,42904.98112,4900
71,43663.20455,5041
72,44423.46001,5184
73,45185.71928,5329
74,45949.95491,5476
75,46716.14018,5625
76,47484.2491,5776
77,48254.25636,5929
78,49026.13731,6084
79,49799.86791,6241
80,50575.42476,6400
81,51352.78502,6561
82,52131.92644,6724
83,52912.82728,6889
84,53695.46635,7056
85,54479.82296,7225
86,55265.87689,7396
87,56053.60841,7569
88,56842.99824,7744
89,57634.02754,7921
90,58426.67787,8100
91,59220.93123,8281
92,60016.77,8464
93,60814.17694,8649
94,61613.13521,8836
95,62413.62828,9025
96,63215.64001,9216
97,64019.15457,9409
98,64824.15647,9604
99,65630.63054,9801
100,66438.5619,10000
101,67247.93598,10201
102,68058.73849,10404
103,68870.95543,10609
104,69684.57307,10816
105,70499.57794,11025
106,71315.95682,11236
107,72133.69675,11449
108,72952.78502,11664
109,73773.20914,11881
110,74594.95685,12100
111,75418.01612,12321
112,76242.37513,12544
113,77068.02228,12769
114,77894.94616,12996
115,78723.13559,13225
116,79552.57954,13456
117,80383.26722,13689
118,81215.18798,13924
119,82048.33138,14161
120,82882.68715,14400
121,83718.24517,14641
122,84554.99552,14884
123,85392.92842,15129
124,86232.03425,15376
125,87072.30356,15625
126,87913.72704,15876
127,88756.29552,16129
128,89600,16384
129,90444.83159,16641
130,91290.78157,16900
131,92137.84132,17161
132,92986.00238,17424
133,93835.25639,17689
134,94685.59515,17956
135,95537.01056,18225
136,96389.49464,18496
137,97243.03954,18769
138,98097.6375,19044
139,98953.28091,19321
140,99809.96224,19600
141,100667.6741,19881
142,101526.4091,20164
143,102386.1601,20449
144,103246.92,20736
145,104108.6818,21025
146,104971.4386,21316
147,105835.1835,21609
148,106699.9098,21904
149,107565.611,22201
150,108432.2804,22500
151,109299.9116,22801
152,110168.4982,23104
153,111038.034,23409
154,111908.5127,23716
155,112779.9283,24025
156,113652.2746,24336
157,114525.5458,24649
158,115399.7358,24964
159,116274.839,25281
160,117150.8495,25600
161,118027.7617,25921
162,118905.57,26244
163,119784.2689,26569
164,120663.8529,26896
165,121544.3165,27225
166,122425.6546,27556
167,123307.8617,27889
168,124190.9327,28224
169,125074.8625,28561
170,125959.6459,28900
171,126845.278,29241
172,127731.7538,29584
173,128619.0683,29929
174,129507.2168,30276
175,130396.1945,30625
176,131285.9965,30976
177,132176.6182,31329
178,133068.0551,31684
179,133960.3024,32041
180,134853.3557,32400
181,135747.2106,32761
182,136641.8625,33124
183,137537.307,33489
184,138433.54,33856
185,139330.557,34225
186,140228.3539,34596
187,141126.9264,34969
188,142026.2704,35344
189,142926.3818,35721
190,143827.2566,36100
191,144728.8906,36481
192,145631.28,36864
193,146534.4208,37249
194,147438.3091,37636
195,148342.9411,38025
196,149248.3129,38416
197,150154.4208,38809
198,151061.2611,39204
199,151968.8299,39601
200,152877.1238,40000
201,153786.139,40401
202,154695.872,40804
203,155606.3191,41209
204,156517.477,41616
205,157429.342,42025
206,158341.9109,42436
207,159255.18,42849
208,160169.1461,43264
209,161083.8059,43681
210,161999.1559,44100
211,162915.1929,44521
212,163831.9136,44944
213,164749.3149,45369
214,165667.3935,45796
215,166586.1463,46225
216,167505.57,46656
217,168425.6617,47089
218,169346.4183,47524
219,170267.8366,47961
220,171189.9137,48400
221,172112.6466,48841
222,173036.0322,49284
223,173960.0678,49729
224,174884.7503,50176
225,175810.0768,50625
226,176736.0446,51076
227,177662.6507,51529
228,178589.8923,51984
229,179517.7667,52441
230,180446.2712,52900
231,181375.4029,53361
232,182305.1591,53824
233,183235.5372,54289
234,184166.5344,54756
235,185098.1482,55225
236,186030.376,55696
237,186963.215,56169
238,187896.6628,56644
239,188830.7167,57121
240,189765.3743,57600
241,190700.633,58081
242,191636.4903,58564
243,192572.9438,59049
244,193509.991,59536
245,194447.6295,60025
246,195385.8568,60516
247,196324.6706,61009
248,197264.0685,61504
249,198204.0481,62001
250,199144.6071,62500
251,200085.7432,63001
252,201027.4541,63504
253,201969.7374,64009
254,202912.591,64516
255,203856.0126,65025
256,204800,65536
257,205744.5509,66049
258,206689.6632,66564
259,207635.3347,67081
260,208581.5631,67600
261,209528.3465,68121
262,210475.6826,68644
263,211423.5694,69169
264,212372.0048,69696
265,213320.9866,70225
266,214270.5128,70756
267,215220.5814,71289
268,216171.1903,71824
269,217122.3376,72361
270,218074.0211,72900
271,219026.239,73441
272,219978.9893,73984
273,220932.2699,74529
274,221886.0791,75076
275,222840.4147,75625
276,223795.275,76176
277,224750.658,76729
278,225706.5618,77284
279,226662.9846,77841
280,227619.9245,78400
281,228577.3796,78961
282,229535.3481,79524
283,230493.8283,80089
284,231452.8182,80656
285,232412.3161,81225
286,233372.3202,81796
287,234332.8288,82369
288,235293.84,82944
289,236255.3522,83521
290,237217.3636,84100
291,238179.8725,84681
292,239142.8771,85264
293,240106.3758,85849
294,241070.3669,86436
295,242034.8488,87025
296,242999.8196,87616
297,243965.2779,88209
298,244931.2219,88804
299,245897.6501,89401
300,246864.5607,90000
301,247831.9523,90601
302,248799.8231,91204
303,249768.1717,91809
304,250736.9964,92416
305,251706.2957,93025
306,252676.068,93636
307,253646.3118,94249
308,254617.0255,94864
309,255588.2076,95481
310,256559.8566,96100
311,257531.971,96721
312,258504.5492,97344
313,259477.5899,97969
314,260451.0915,98596
315,261425.0526,99225
316,262399.4716,99856
317,263374.3473,100489
318,264349.678,101124
319,265325.4624,101761
320,266301.699,102400
321,267278.3865,103041
322,268255.5235,103684
323,269233.1085,104329
324,270211.1401,104976
325,271189.617,105625
326,272168.5378,106276
327,273147.9012,106929
328,274127.7058,107584
329,275107.9502,108241
330,276088.6331,108900
331,277069.7532,109561
332,278051.3091,110224
333,279033.2996,110889
334,280015.7234,111556
335,280998.5791,112225
336,281981.8654,112896
337,282965.5811,113569
338,283949.7249,114244
339,284934.2956,114921
340,285919.2918,115600
341,286904.7124,116281
342,287890.556,116964
343,288876.8215,117649
344,289863.5076,118336
345,290850.613,119025
346,291838.1367,119716
347,292826.0773,120409
348,293814.4337,121104
349,294803.2046,121801
350,295792.3889,122500
351,296781.9854,123201
352,297771.993,123904
353,298762.4104,124609
354,299753.2365,125316
355,300744.4701,126025
356,301736.1101,126736
357,302728.1554,127449
358,303720.6048,128164
359,304713.4572,128881
360,305706.7115,129600
361,306700.3665,130321
362,307694.4211,131044
363,308688.8743,131769
364,309683.7249,132496
365,310678.9719,133225
366,311674.6141,133956
367,312670.6505,134689
368,313667.08,135424
369,314663.9015,136161
370,315661.114,136900
371,316658.7165,137641
372,317656.7078,138384
373,318655.0869,139129
374,319653.8528,139876
375,320653.0045,140625
376,321652.5408,141376
377,322652.4609,142129
378,323652.7636,142884
379,324653.448,143641
380,325654.5131,144400
381,326655.9578,145161
382,327657.7812,145924
383,328659.9823,146689
384,329662.56,147456
385,330665.5135,148225
386,331668.8416,148996
387,332672.5436,149769
388,333676.6183,150544
389,334681.0648,151321
390,335685.8822,152100
391,336691.0696,152881
392,337696.6259,153664
393,338702.5502,154449
394,339708.8417,155236
395,340715.4993,156025
396,341722.5222,156816
397,342729.9093,157609
398,343737.6599,158404
399,344745.773,159201
400,345754.2476,160000
401,346763.0829,160801
402,347772.278,161604
403,348781.8319,162409
404,349791.7439,163216
405,350802.013,164025
406,351812.6382,164836
407,352823.6189,165649
408,353834.954,166464
409,354846.6426,167281
410,355858.6841,168100
411,356871.0774,168921
412,357883.8217,169744
413,358896.9162,170569
414,359910.36,171396
415,360924.1523,172225
416,361938.2923,173056
417,362952.779,173889
418,363967.6117,174724
419,364982.7896,175561
420,365998.3117,176400
421,367014.1774,177241
422,368030.3858,178084
423,369046.936,178929
424,370063.8273,179776
425,371081.0588,180625
426,372098.6298,181476
427,373116.5395,182329
428,374134.787,183184
429,375153.3716,184041
430,376172.2925,184900
431,377191.5489,185761
432,378211.1401,186624
433,379231.0652,187489
434,380251.3235,188356
435,381271.9142,189225
436,382292.8366,190096
437,383314.0898,190969
438,384335.6732,191844
439,385357.586,192721
440,386379.8274,193600
441,387402.3967,194481
442,388425.2931,195364
443,389448.516,196249
444,390472.0645,197136
445,391495.9379,198025
446,392520.1355,198916
447,393544.6566,199809
448,394569.5005,200704
449,395594.6664,201601
450,396620.1536,202500
451,397645.9614,203401
452,398672.0891,204304
453,399698.536,205209
454,400725.3013,206116
455,401752.3844,207025
456,402779.7846,207936
457,403807.5012,208849
458,404835.5335,209764
459,405863.8808,210681
460,406892.5423,211600
461,407921.5176,212521
462,408950.8057,213444
463,409980.4061,214369
464,411010.3182,215296
465,412040.5411,216225
466,413071.0743,217156
467,414101.9171,218089
468,415133.0689,219024
469,416164.5289,219961
470,417196.2965,220900
471,418228.3711,221841
472,419260.7519,222784
473,420293.4385,223729
474,421326.43,224676
475,422359.7259,225625
476,423393.3255,226576
477,424427.2283,227529
478,425461.4334,228484
479,426495.9404,229441
480,427530.7486,230400
481,428565.8573,231361
482,429601.266,232324
483,430636.974,233289
484,431672.9807,234256
485,432709.2854,235225
486,433745.8877,236196
487,434782.7868,237169
488,435819.9821,238144
489,436857.473,239121
490,437895.259,240100
491,438933.3394,241081
492,439971.7137,242064
493,441010.3811,243049
494,442049.3412,244036
495,443088.5934,245025
496,444128.137,246016
497,445167.9715,247009
498,446208.0962,248004
499,447248.5107,249001
500,448289.2142,250000
501,449330.2063,251001
502,450371.4864,252004
503,451413.0539,253009
504,452454.9081,254016
505,453497.0487,255025
506,454539.4749,256036
507,455582.1862,257049
508,456625.1821,258064
509,457668.462,259081
510,458712.0253,260100
511,459755.8715,261121
512,460800,262144
513,461844.4103,263169
514,462889.1018,264196
515,463934.074,265225
516,464979.3264,266256
517,466024.8583,267289
518,467070.6693,268324
519,468116.7588,269361
520,469163.1263,270400
521,470209.7712,271441
522,471256.693,272484
523,472303.8912,273529
524,473351.3653,274576
525,474399.1147,275625
526,475447.1388,276676
527,476495.4373,277729
528,477544.0095,278784
529,478592.855,279841
530,479641.9731,280900
531,480691.3635,281961
532,481741.0256,283024
533,482790.9588,284089
534,483841.1628,285156
535,484891.6368,286225
536,485942.3806,287296
537,486993.3935,288369
538,488044.6751,289444
539,489096.2248,290521
540,490148.0422,291600
541,491200.1268,292681
542,492252.478,293764
543,493305.0955,294849
544,494357.9786,295936
545,495411.1269,297025
546,496464.5399,298116
547,497518.2171,299209
548,498572.1581,300304
549,499626.3624,301401
550,500680.8295,302500
551,501735.5588,303601
552,502790.55,304704
553,503845.8026,305809
554,504901.316,306916
555,505957.0898,308025
556,507013.1236,309136
557,508069.4169,310249
558,509125.9692,311364
559,510182.78,312481
560,511239.8489,313600
561,512297.1755,314721
562,513354.7592,315844
563,514412.5996,316969
564,515470.6963,318096
565,516529.0487,319225
566,517587.6565,320356
567,518646.5192,321489
568,519705.6364,322624
569,520765.0075,323761
570,521824.6322,324900
571,522884.51,326041
572,523944.6405,327184
573,525005.0231,328329
574,526065.6576,329476
575,527126.5434,330625
576,528187.6801,331776
577,529249.0672,332929
578,530310.7044,334084
579,531372.5912,335241
580,532434.7272,336400
581,533497.1119,337561
582,534559.745,338724
583,535622.6259,339889
584,536685.7542,341056
585,537749.1296,342225
586,538812.7517,343396
587,539876.6199,344569
588,540940.7339,345744
589,542005.0932,346921
590,543069.6975,348100
591,544134.5463,349281
592,545199.6392,350464
593,546264.9759,351649
594,547330.5558,352836
595,548396.3786,354025
596,549462.4438,355216
597,550528.7511,356409
598,551595.3001,357604
599,552662.0903,358801
600,553729.1214,360000
601,554796.393,361201
602,555863.9045,362404
603,556931.6558,363609
604,557999.6463,364816
605,559067.8756,366025
606,560136.3434,367236
607,561205.0493,368449
608,562273.9928,369664
609,563343.1737,370881
610,564412.5914,372100
611,565482.2456,373321
612,566552.136,374544
613,567622.2621,375769
614,568692.6235,376996
615,569763.2199,378225
616,570834.0509,379456
617,571905.1161,380689
618,572976.4151,381924
619,574047.9476,383161
620,575119.7131,384400
621,576191.7114,385641
622,577263.9419,386884
623,578336.4044,388129
624,579409.0985,389376
625,580482.0237,390625
626,581555.1798,391876
627,582628.5664,393129
628,583702.183,394384
629,584776.0294,395641
630,585850.1052,396900
631,586924.4099,398161
632,587998.9433,399424
633,589073.7049,400689
634,590148.6945,401956
635,591223.9116,403225
636,592299.356,404496
637,593375.0271,405769
638,594450.9248,407044
639,595527.0485,408321
640,596603.3981,409600
641,597679.973,410881
642,598756.7731,412164
643,599833.7978,413449
644,600911.047,414736
645,601988.5201,416025
646,603066.2169,417316
647,604144.1371,418609
648,605222.2802,419904
649,606300.646,421201
650,607379.234,422500
651,608458.044,423801
652,609537.0757,425104
653,610616.3286,426409
654,611695.8024,427716
655,612775.4968,429025
656,613855.4115,430336
657,614935.5461,431649
658,616015.9003,432964
659,617096.4738,434281
660,618177.2661,435600
661,619258.2771,436921
662,620339.5063,438244
663,621420.9535,439569
664,622502.6182,440896
665,623584.5003,442225
666,624666.5992,443556
667,625748.9148,444889
668,626831.4467,446224
669,627914.1946,447561
670,628997.1581,448900
671,630080.337,450241
672,631163.7308,451584
673,632247.3393,452929
674,633331.1623,454276
675,634415.1992,455625
676,635499.4499,456976
